degree,clean,cluster
Astronomy (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,12
"Biology: Molecular, Cellular and Organismal Biology (Master 2022-2023) - Prospectus - Universiteit Leiden",Biology Molecular Cellular Organismal Biology,234
Dutch Studies (Master 2022-2023) - Prospectus - Universiteit Leiden,Dutch Studies,48
Education and Child Studies: Digital media in human development (Master 2022-2023) - Prospectus - Universiteit Leiden,Education Child Studies Digital media human development,275
Juvenile Law (Master 2022-2023) - Prospectus - Universiteit Leiden,Juvenile Law,165
Master of Philosophy in Visual Anthropology | UiT,Philosophy Visual Anthropology,209
Middle Eastern Studies: Arabic (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Middle Eastern Studies Arabic,4
Classics and Ancient Civilizations: Hebrew and Aramaic Studies (Master 2022-2023) - Prospectus - Universiteit Leiden,Classics Ancient Civilizations Hebrew Aramaic Studies,155
History (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,History,85
Architecture Program,Architecture Program,186
Data Science (master's two years) – University of Oslo,Data Science,14
Education and Child Studies (Research) (Master 2022-2023) - Prospectus - Universiteit Leiden,Education Child Studies,5
International Civil and Commercial Law (Advanced programme) (Master 2022-2023) - Prospectus - Universiteit Leiden,International Civil Commercial Law,9
Ancient Near East Studies: Hebrew and Aramaic (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Ancient Near East Studies Hebrew Aramaic,155
Bachelor Cycle - Microengineering - EPFL,Microengineering,153
Astronomy and Mathematics (double bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Astronomy Mathematics,12
Literary Studies: Literature in Society. Europe and Beyond (Master 2022-2023) - Prospectus - Universiteit Leiden,Literary Studies Literature Society Europe Beyond,203
"Master Cycle - Management, Technology and Entrepreneurship - EPFL",Management Technology Entrepreneurship,34
Management of the Public Sector: Pre-master (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Management the Public Sector Pre,94
Linguistics – University of Oslo,Linguistics,23
Bachelor Cycle - Mechanical Engineering - EPFL,Mechanical Engineering,22
Training in teaching French as a foreign language (FLE-FLS) - Catalogue des formations,Training teaching French foreign language,134
Education and Child Studies: Pre-master programme (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Education Child Studies Pre programme,5
Multilingualism (master's two years)  – University of Oslo,Multilingualism,129
Peace and Conflict Transformation - master | UiT,Peace Conflict Transformation,123
University degree of French studies B1 (DUEF) - Catalogue des formations,degree French studies,35
Master Cycle - Applied Mathematics - EPFL,Applied Mathematics,44
Islam: Religion and Society (Minor 2022-2023) - Prospectus - Universiteit Leiden,Islam Religion Society,230
"Applied Computer Science - Master | Data / IT, sivilingeni&oslash;r - master | UiT",Applied Computer Science Data sivilingeni oslash,233
International Studies (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,International Studies,28
Master&#39;s Programme in Earth Science,Earth Science,62
"Music, Communication and Technology (master's two years)  – University of Oslo",Music Communication Technology,239
Game Studies and Cultural Analysis (Minor 2022-2023) - Prospectus - Universiteit Leiden,Game Studies Cultural Analysis,191
Ibsen Studies (master's 2-years) – University of Oslo,Ibsen Studies,119
Afstudeerrichting Bio-Pharmaceutical Sciences and Pharmacy (Modular 2022-2023) - Prospectus - Universiteit Leiden,Afstudeerrichting Bio Pharmaceutical Sciences Pharmacy,53
Master in Mechanics - Catalogue des formations,Mechanics,232
MA Middle Eastern Studies: Pre-master (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Middle Eastern Studies Pre,4
Comparative and International Education (master's 2-years) – University of Oslo,Comparative International Education,28
"History (Research): Cities, Migration and Global Interdependence (Master 2022-2023) - Prospectus - Universiteit Leiden",History Cities Migration Global Interdependence,130
Master Cycle - Microengineering - EPFL,Microengineering,153
Classics and Ancient Civilizations: Classics (Master 2022-2023) - Prospectus - Universiteit Leiden,Classics Ancient Civilizations Classics,37
University degree of French studies C1 (DUEF) - Catalogue des formations,degree French studies,35
Internetrecht (Minor 2022-2023) - Prospectus - Universiteit Leiden,Internetrecht,159
Theory and Practice of Human Rights (master's 2-years) – University of Oslo,Theory Practice Human Rights,175
Archaeology: MA Applied Archaeology (Master 2022-2023) - Prospectus - Universiteit Leiden,Archaeology Applied Archaeology,114
Bachelor Cycle - Civil Engineering - EPFL,Civil Engineering,77
Culture and Society in Morocco (Minor 2022-2023) - Prospectus - Universiteit Leiden,Culture Society Morocco,219
"Governance, Economics &amp; Development (LUC) (Major 2022-2023) - Prospectus - Universiteit Leiden",Governance Economics amp Development,212
Master Cycle - Civil Engineering - EPFL,Civil Engineering,77
Geosciences (master's two years) – University of Oslo,Geosciences,62
Minor - Computational Neurosciences minor - EPFL,Computational Neurosciences,289
Cultural Anthropology and Development Sociology: Global Ethnography (Master 2022-2023) - Prospectus - Universiteit Leiden,Cultural Anthropology Development Sociology Global Ethnography,207
"Master in Earth, planetary and environmental sciences - Catalogue des formations",Earth planetary environmental sciences,62
Honours Certificate in Environmental Humanities and Sciences – University of Oslo,Certificate Environmental Humanities Sciences,241
Biology: Molecular Genetics &amp; Biotechnology (Master 2022-2023) - Prospectus - Universiteit Leiden,Biology Molecular Genetics amp Biotechnology,234
Maritime Law (master's 1 1/2-years) – University of Oslo,Maritime Law,116
Cyber Security Governance Essentials (Minor 2022-2023) - Prospectus - Universiteit Leiden,Cyber Security Governance Essentials,27
Mathematics (Master 2022-2023) - Prospectus - Universiteit Leiden,Mathematics,44
Global Affairs (Minor 2022-2023) - Prospectus - Universiteit Leiden,Global Affairs,32
History (Research MA) (Master 2022-2023) - Prospectus - Universiteit Leiden,History,85
Law - International Business Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Law International Business Law,9
Master&#39;s Programme in Ecology,Ecology,101
Law of the Sea - master | UiT,Law the Sea,116
MA Media Studies: Pre-master Journalism and New Media (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Media Studies Pre Journalism New Media,107
Human Geography (master's two years) – University of Oslo,Human Geography,63
Master in Signal and image processing - Catalogue des formations,Signal image processing,151
Master in Marketing and sales - Catalogue des formations,Marketing sales,29
Informatics: Language Technology (master's two years) – University of Oslo,Informatics Language Technology,74
International Relations: Culture and Politics (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,32
Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Law,45
Second year of Master&#39;s Programme in Public Health,Second year Public Health,87
Master Cycle - Quantum Science and Engineering - EPFL,Quantum Science Engineering,136
Educatieve minor (Minor 2022-2023) - Prospectus - Universiteit Leiden,Educatieve,127
Gender Studies (LUC) (Modular 2022-2023) - Prospectus - Universiteit Leiden,Gender Studies,84
Viking and Medieval Norse Studies – University of Oslo,Viking Medieval Norse Studies,121
Minor - Data science minor - EPFL,Data science,14
European Master in Health Economics and Management (master's 2-years) – University of Oslo,European Health Economics Management,284
Journalistiek en nieuwe media (Minor 2022-2023) - Prospectus - Universiteit Leiden,Journalistiek nieuwe media,67
Master&#39;s Programme in Architecture and Urban Design,Architecture Urban Design,18
Bachelor Cycle - Chemical Engineering - EPFL,Chemical Engineering,11
Ancient Near East Studies: Assyriology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Ancient Near East Studies Assyriology,83
Minor - Minor in Quantum Science and Engineering - EPFL,Quantum Science Engineering,136
Asian Studies (60 EC): Southeast Asian Studies (Master 2022-2023) - Prospectus - Universiteit Leiden,Asian Studies Southeast Asian Studies,21
PhD Programme in Natural Science | UiT,PhD Natural Science,76
Master Cycle - Life Sciences Engineering - EPFL,Life Sciences Engineering,250
Ph.D. course - Catalogue des formations,course,108
Minor - Computer science minor - EPFL,Computer science,2
Asian Studies (60 EC): South Asian Studies (Master 2022-2023) - Prospectus - Universiteit Leiden,Asian Studies South Asian Studies,21
Language and Culture Education: English (Master 2022-2023) - Prospectus - Universiteit Leiden,Language Culture Education English,66
"Arts, Literature and Media (Research) (Master 2022-2023) - Prospectus - Universiteit Leiden",Arts Literature Media,158
Latin American Studies (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Latin American Studies,61
Master in Corporate management and administration - Catalogue des formations,Corporate management administration,54
Midden-Oostenstudies: Islamstudies (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Midden Oostenstudies Islamstudies,43
"Industrial Engineering - Master | Industriell teknologi, sivilingeni&oslash;r - master | UiT",Industrial Engineering Industriell teknologi sivilingeni oslash,68
Natural Sciences and Informatics at bachelor's level – University of Oslo,Natural Sciences Informatics level,132
Law &amp; Finance (Advanced Master Programme) (Master 2022-2023) - Prospectus - Universiteit Leiden,Law amp Finance,205
Astronomy and Business Studies (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy Business Studies,182
Computer Science: Computer Science and Education (Master 2022-2023) - Prospectus - Universiteit Leiden,Computer Science Computer Science Education,2
Minor - Biomedical technologies minor - EPFL,Biomedical technologies,122
"University degree Literature, french language and communication (LLFC) - Catalogue des formations",degree Literature french language communication,35
Crime and criminal justice: Criminology and Security Policy (Master 2022-2023) - Prospectus - Universiteit Leiden,Crime criminal justice Criminology Security Policy,40
Bio-Pharmaceutical Sciences: Bio-Pharmaceutical Sciences and Education (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Bio Pharmaceutical Sciences Education,168
"Aerospace Control Engineering - Master | Satelitteknologi, sivilingeni&oslash;r - master | UiT",Aerospace Control Engineering Satelitteknologi sivilingeni oslash,68
Master Cycle - Chemical Engineering and Biotechnology - EPFL,Chemical Engineering Biotechnology,11
"Assessment, Measurement and Evaluation (2 year master's) – University of Oslo",Assessment Measurement Evaluation,86
Bio-Pharmaceutical Sciences: Systems Biomedicine and Pharmacology (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Systems Biomedicine Pharmacology,168
English Language and Culture (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,English Language Culture,66
MA Literary Studies: Pre-master Literature in Society (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Literary Studies Pre Literature Society,203
"Disease, Signaling and Drug Targets (Modular 2022-2023) - Prospectus - Universiteit Leiden",Disease Signaling Drug Targets,285
