topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Mathematical Statistics,Master,Execution of Experiments,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.053332059960960056
Mathematical Statistics,Master,Linear Model,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.08908874805222096
Mathematical Statistics,Master,Factor Analysis,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.13656394237064212
Mathematical Statistics,Master,Multivariate Analysis,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.10492802267468836
Mathematical Statistics,Master,Ordinary Least Squares (Regression Analysis),,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.09664385633509306
Mathematical Statistics,Master,Principal Component Analysis,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.09967784461909106
Mathematical Statistics,Master,Applied Mathematics,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.07816086810627666
Mathematical Statistics,Master,Strategic Management,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.10904879106999549
Mathematical Statistics,Master,Automatic Control,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.10904879106999549
Mathematical Statistics,Master,Frequency Domain,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.10132379288386147
Mathematical Statistics,Master,Information Theory,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.09523888232238853
Mathematical Statistics,Master,Knowledge of Medicine,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.0675135384455923
Mathematical Statistics,Master,Signal Processing,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.07668381331731852
Mathematical Statistics,Master,Filtration,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.15127380733281937
Mathematical Statistics,Master,Estimation Theories,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.10132379288386147
Mathematical Statistics,Master,Spatial Data Infrastructures,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.09021815771251111
Mathematical Statistics,Master,Interpolation,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.08222340340776953
Mathematical Statistics,Master,Programming Environments,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.1429896409932241
Mathematical Statistics,Master,Programming Languages,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.06549191870529844
Mathematical Statistics,Master,Experimental Data,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.08310951193990049
Mathematical Statistics,Master,Social Sciences,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.055663665739079646
Mathematical Statistics,Master,Causal Inference,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.10492802267468836
Mathematical Statistics,Master,Balance Sheets,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.1268748020183423
Mathematical Statistics,Master,Financial Institution,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.12302959797544955
Mathematical Statistics,Master,Calculations,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.06453195464389634
Mathematical Statistics,Master,Economic Capital,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.15127380733281937
Mathematical Statistics,Master,Investment Strategies,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.13131376431504482
Mathematical Statistics,Master,Quantitative Research,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.07741287137404172
Mathematical Statistics,Master,Credit Risks,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.13656394237064212
Mathematical Statistics,Master,Market Data,,144,Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,0.13656394237064212
